Yazar,Tarih,Baslik,Sikayet,Kaynak
birfincankeyif,29.10.2013 14:10,IKEA Genel,"çocukların düşünüldüğü, pratik, gerçekten ergonomik ürünlerin satıldığı, kahvesi lezzetli ev dekorasyon firması. orası açıldıktan sonra daha önce ülkemizde bu alanda faaliyet gösteren bazıfirmalar kendilerini yenilemek zorunda kaldılar. ürün çeşitliliğini ve kulllanılabilir olmayı bir daha gözden geçirdiler..",Ekşi Sözlük
eachon,05.11.2013 13:58,IKEA Genel,"neredeyse 2 senedir gitmediğim, bu sene zarfında inanılmaz popülerleşmiş olduğunu farkettiğim isveç firması. geçen pazar ailecek ikeaya gidelim dedik gezeriz , köfte yeriz diye. ana baba günüydü. ben hiç bu kadar kalabalık görmemiştim ikeayı. ikinci yemek reyonunu bile açmışlardı çok şaşırttı. adamların sattıkları ürünlerden verdikleri hizmete kadar herşeyden profesyonellik akıyor. tek götümüze giren, mutfak tezgahı aldık 246 cm'lik, nakliyesini kendimiz yapalım dedik, montajı onlar yapsın, hiç sormadan soruşturmadan hatchback arabaya o tezgahı zar zor sığdırdıktan sonra, tekrar yukarı çıkıp ""biz montaj istiyoz"" deyip de adamın ""nakliye ücretsiz oluyor montaj isterseniz"" demesiyle başımdan aşağı kaynar sular indi. lan ben 2 saat uğraştım bütün koltukları yatırdım ettim, hesap kitap yaptım. ama benim arabanın limitlerini de öğrenmiş oldum bu açıdan öğreticiydi.

köftelere ne yapmışlar bilmiyorum tadı değişmiş. bir ara isveçle ilgili bi et olayları vardı hatırlamıyorum ondan sora değişmiş olabilir. ha bir de 2 tl'lik yeşil mavi fırçalar var hastasıyım onların.",Ekşi Sözlük
elektriklisandalye,07.11.2013 19:50,IKEA Genel,"bi mesaj atayım bakayım siteden, cevap gelmez ya neyse diyerek attığım mesaja 30 dakika içinde telefonla geri dönüş yapan firma.

adamlar müşteri hizmetleri konusunda aşmışlar.

benim soru da soru olsa bari; ""füme somon satışı yapmayı mı bıraktınız? bi daha gelmeyecek mi? bayağıdır bakıyorum yok."" yazdım.

gayet ciddi bir ses tonuyla; ""gelecek efendim, zaman zaman böyle aksaklıklar yaşıyoruz yurt dışından geldiği için, tekrar satışı yapılmaya başlanacak"" dedi.

akşam akşam bunalımlı yalnızlığıma neşe kattılar sağ olsunlar.",Ekşi Sözlük
kuradilammas,07.11.2013 20:06,IKEA Genel,uyduruk mobilyaları yüklüce bir para ödeyerek alabileceğiniz mekanlar silsilesi.,Ekşi Sözlük
hosvelkam,09.11.2013 21:46,IKEA Genel,internet sitelerindeki bitmek bilmeyen güncelleme yüzünden yeni üye kaydı alamayan ve istanbul dışına sipariş veremediğimiz mobilya ve eşya satıcısı isveç menşeli firmadır.,Ekşi Sözlük
e a p,14.11.2013 14:11,IKEA Genel,http://www.youtube.com/…ayer_embedded&v=aibt44rrslw,Ekşi Sözlük
tambourineman,15.11.2013 12:26 ~ 08.01.2014 17:23,IKEA Genel,"dışarıdan çok kurumsal gözükse de içine girdiğinizde gördükleriniz ile şaşkınlığınızı atmanız uzun sürebilir.

(bkz: ikea trading)",Ekşi Sözlük
turkan kalfa,15.11.2013 12:45,IKEA Genel,her yeri ayrı bi' labirent amk mağazasının.,Ekşi Sözlük
sirjohn,21.11.2013 06:36,IKEA Genel,"urunlerinde kalitenin yerlerde surundugu mekan. yasam tarzi, dizayn ayagina ucuzcu zihniyeti somuruyor.",Ekşi Sözlük
medusa5,04.12.2013 09:10 ~ 09:18,IKEA Genel,"dün gittiğim yerdir.

her pelüş oyuncak alan
unicef e bir katkı yapıyor da ondan gittim.
doğrudan unicef e de katkı yapmak olası:
http://www.unicef.org.tr/tr

bu da durum:
http://www.unicef.org.tr/…ituation-of-children.html",Ekşi Sözlük
kafamin etini yeme kadin,06.12.2013 10:11,IKEA Genel,pahalı olan çatal bıçak setleri bile paslanıyor. haberiniz olsun. ben yandım siz yanmayın. tamam çok şıklar ancak paslı bi tenekeden yemek yemek sağlıklı değil.,Ekşi Sözlük
dan,09.12.2013 11:35,IKEA Genel,"tr'de gosterilen basarisiz reklamlarin aksine yurt disinda oldukca guzel bir reklam yayinlamislar. hangi ulke oldugunu bilmiyorum maalesef.

reklam",Ekşi Sözlük
direct my wrath,09.12.2013 22:35,IKEA Genel,allah belasını versin böyle güzel zencefilli kurabiyesinin kusana kadar yidim.,Ekşi Sözlük
dahili meddah,10.12.2013 14:18,IKEA Genel,"her gittiğimde 3-4 saat dolaşıp,köfte ve sınırsız kola içip 3 liralık süzgeç alıp çıktığım yer.",Ekşi Sözlük
amanita phalloides,12.12.2013 13:44,IKEA Genel,"izmir'de gittiğim her evde ikea bardakları (şu üzerinde siyah çizgiler olan gayet sıradan bardaklar) olduğunu farkettiğimden bu yana bir tuhafım be sözlük. ya hadi anladım mobilyalar pratik, hafif, güzel, dekoratif vs ama bardak ne lan? niye hepiniz aynı yerden alıyorsunuz bardakları? hayır ucuz da değil ki.

al sana tanım: sayesinde ""kopyala yapıştır"" evlerin oluştuğu mağaza.",Ekşi Sözlük
wereydaa,12.12.2013 15:40,IKEA Genel,ne zaman girsem alacağım ürünü bulmaktan çok çıkışı bulmak için zaman harcadığım kocaman mağaza.,Ekşi Sözlük
dolaysiztumlec,17.12.2013 21:05,IKEA Genel,lezbiyenlere yaptıkları sansürün protesto edildiği marka.,Ekşi Sözlük
hohenheim of light,20.12.2013 12:50,IKEA Genel,"geçen sene baya hoşuma giden yılbaşı reklamlarını yeniden yayınlamışlar. söyleyip duruyorum sürekli.

http://www.youtube.com/watch?v=sjwplki0l_8",Ekşi Sözlük
kafamin etini yeme kadin,23.12.2013 10:23,IKEA Genel,"çevrildiğinde oturak olan, kocaman kovaları niye satıştan çektiğini anlayamadığım yer. bana kalırsa en işlevsel ürünleri oydu. kova süper işlevseldi. banyoya götürür çamaşır makinesini boşaltırdım, sonra o kovayı suyla doldurup içine çamaşır suyu döker bulaşıklarda sterilizasyonu sağlardım, aynı kovayı ters çevirir otururdum...
yazık oldu.",Ekşi Sözlük
bunlar hep yalan dolan,24.12.2013 02:04 ~ 02:11,IKEA Genel,"internetten yapılan alışverişler için yurtiçi kargo'yla anlaşmasına anlam veremediğim firma. şirketler arası bir akrabalık mı var nedir, yoksa salaklık yani sdfghjkls. şahsen malımı yurtiçi kargo'ya teslim edeceğime, kapının önüne koyup kendi imkanlarıyla gitmesini beklerim daha iyi. ilk ve son siparişimde yaşananlardan dolayı bir daha internet mağazasından alışveriş yapmayı düşünmüyorum mesela? (bkz: #39167082) fiziksel olarak da ümraniye mağazasına falan gittiğimi tahayyül edemiyorum, bi tane kitaplık için mezopotamya'ya geçemem açıkçası.",Ekşi Sözlük
bu niye boyle oldu ki,26.12.2013 10:12,IKEA Genel,hakkındaki düşüncelerimi paylaşan bir blog yazısı bulduğum firma,Ekşi Sözlük
dikakana bey,28.12.2013 00:13,IKEA Genel,"yeni sezon lamba serisini sunmuş:

https://twitter.com/…tus/416692483091730433/photo/1",Ekşi Sözlük
wozez,28.12.2013 00:15,IKEA Genel,sınırsız olarak verdikleri hotdog'ın hardal sosunun ishal yapmasıyla tanınırlar.,Ekşi Sözlük
reihelen,28.12.2013 00:22 ~ 20:28,IKEA Genel,"çocukken içinde kaybolduğum,büyüdükçe insanın daha da bir gidesi gelen,içinde ev tasarımına dair gerekli gereksiz herşeyi barındıran mekandır.(bkz: evlenince gidilecek mekanlar)",Ekşi Sözlük
r7,28.12.2013 00:26,IKEA Genel,"ilk kez dun girdim, buyuk konusmayayim ancak bir daha da gitmem herhalde..

herhangi bir kisiligi olmayan tekduze cisimler, sittin sene sahiplenemeyecegim ve ""benim"" diyemeyecegim nesneler. dograyici diye bir sey gordum misal atiyorsun yarim meyve/sebzeyi ustune bastiriyorsun haznede dogranip cikiyor. hic oyle ""serit takilayim veya kup kup giriseyim"" demek yok. kiralik katil gibi bir nevi, sebze katili.

dumduz bir kesme tahtasi alip ciktim..",Ekşi Sözlük
nutellamsi gibi,28.12.2013 00:48,IKEA Genel,isveç gıda marketinde amerikan filmi coolluğundan aşağı kalmama hissine binaen fiyatlara baktıkça ''bu ne amk ben ona o parayı verene kadar çoluğa çocuğa en ala çikolatayı alırım'' diyerek migrosa yönelten markadır.,Ekşi Sözlük
denizdekarartivarsugelenalpermidir,28.12.2013 01:06,IKEA Genel,orası benim evimmiş meğersem,Ekşi Sözlük
naytmeyi,28.12.2013 18:14,IKEA Genel,bicaklari ve sebze soyacaklari harikuladedir,Ekşi Sözlük
nickullah entryoglu,30.12.2013 06:40,IKEA Genel,"modern zamanlar mobilyacısı, bazılarını hüzünlendiricisi.

şimdi bu mobilyacı ya hani, kaç sene oldu ilk defa gittim bir şubesine, hah dur marmara forum'daki şubesine gittim geçen. kendimi de kaybettim, ne o lan nalbur dükkanı gibi, incik boncuk, bir de öyle büyüktü ki çıkana kadar afakanlar bastı, amma velakin ''ev düzeceğim'' diyenler için tabii ki biçilmiş kaftan, bütçeyi yormayacak cinsten fiyatları da var bütüne vurulduğunda.

ama, ben başka bir şeyden bahsedeceğim, yıl ya 95 ya da 96 olması lazım, 10lu yaşların başında bir çocuğum, ''dayınla müstakbel yengene mobilya bakmaya gideceğiz faideli, sen de gel'', ''eh hadi gidelim'' de ne anlarım lan ben, mobilyanın renginden, evlenme arifesinde olan çiftimizin müstakbel evlerini süsleyecek oturma grubunun renginden, oturunca götün şeklini alan ortopedikliğinden, benim işim gücüm, ''yarın tasolarla kimi üterim lan acep''ti.

velhasıl kelam, yaşım oldu 28, o son gittiğimde denen, ilk gidişimde gıcık olduğum mekana. insan böyle mi hüzünlenir lan, iki sap olarak gittiğimiz mekanın her köşesinde birbirinden güzel çiftler, kimilerinin sağ parmağında, içten içe kıskandığım, ama yine de gönlümün el vermemesiyle ''mutlu olsunlar lan'', ''şu kanepenin üzerinde birbirlerine sarılır, bizim doyamadığımız aşk ı meşkimizi vuk'u buldururlar'' dedim, çiftleri gördükçe içim parçalandı, gittiğim arkadaşımın suratına baktım, bir de aynaya baktım, hatta bir çifti uzun uzun inceledim, neleri almaya çalışıyorlar, nelere dikkat ediyolarlar, kulak misafiri olmaya çalıştım, monoloğumda da salakça bir ironi vardı işte : ''gelecek yüzyılda sen de evlenecek olursun filan, biraz tecrübelen'' dedim. o son gördüğüm çiftteki elemana da bok attım, ''sen kim, o kız kim ulan, sizin neyinize ikea'dan yatak odası takımı beğenmek!'' dediysem de, yine içime yediremeyip, ''mutlu olun lan, yine de mülayim bir tipe benziyorsun, kataloğa bakıpta gelmişsin ama'' dedim. üst kattaki çoluk çombalak doluşulan restoranına girersem sözlük kardeş, salya sümük bu saatte, olmayan eşimin, olmayan evliliğimin, olmayan çocuğumun kahrı kanser eder beni. neyse ne, oralarda bir yerlerde denen hadiseye, üçüncü gözden şahitlik ettim en azından.

annemin al dediği i de beğenmedim zaten, giriş katındaki o marketimsi abur cubur bölümünden bir iki gofret, püskevit alıp çıktım.",Ekşi Sözlük
damdandama,30.12.2013 11:51,IKEA Genel,tarcinli zencefilli kurabiyeleri guzel olan yer.,Ekşi Sözlük
tjyuksel,04.01.2014 00:42,IKEA Genel,"yeşil büyük duvar saati, modern üçgen beyaz vitrini, pirinç beyaz yatağı, siyah beyaz tablosu, beyaz gardırobu, açık mavi köşe koltuğu ile evimin her şeyi. evimde siyaha-kahverengiye-kırmızıya yer bırakmayan marka.",Ekşi Sözlük
taqster,06.01.2014 14:00,IKEA Genel,"masaları sıkıştırılmış tahta lifleri (sunta), petek bilmem nesi ya da sıkıştırılmış kağıttan yapılıyor. sunta tamamdır hatta onun bir alt versiyonu olan türü de tamamdır her yerde kullanılır ama ürün özelliklerinde sıkıştırılmış kağıt görürseniz o masayı almayın derim. sonra neden bu masa u olmaya çalışıyor diye düşünürsünüz.",Ekşi Sözlük
hytloday,07.01.2014 02:43,IKEA Genel,"bazı ürünlerde almanyaya göre 2 kat fiyat çakmaktadır:

http://www.ikea.com/…g/products/20011408/#/20011413

http://www.ikea.com.tr/…0011413/lack_yan_sehpa.aspx",Ekşi Sözlük
kup tuz,07.01.2014 03:00 ~ 03:01,IKEA Genel,"ektorp model ayak uzatmali koltuk takımı ingiltere indirimli fiyati 90 pound iken ayni ürün türkiye'de indirimli fiyatı 1000 tl civarı. şimdi vergisi algısı diyiceksiniz ama bir malın ederini ödemeyi tercih ederseniz ske ske düşürücekler o fiyatı.

bu arada alanlar olmuşsa eğer 25 yillik garanti ile sattıkları faktum mutfak ünitesinin üretimini durdurmuşlar, iyi haber, alanlar garantisinden faydalanmaya devam edicekler.",Ekşi Sözlük
kyha,12.01.2014 23:27,IKEA Genel,"evinizi mobilyaları buradan almamış olsanız bile çok aman aman olmayan bir paraya afili hale getirmenizi sağlayan köfteci.
poang, ucuz akrobat lamba ve akrobat köşe lambası, tahta askıları, tuvalet fırçası, ayakkabı çekeceği, çerçeveleri, büyük bardakları, duvara yapışan aynaları, karton ve bambu kutuları vb fiyat performans ürünleri var ve muadillerinden çok daha uygun fiyatlılar.
dolap içi düzenleme zımbırtıları ise hakikaten işlevsel.
uzun garanti verdiği banyo ve mutfakları düşünülebilir.
yalnız kanapeleri filan çok güzel görünmesine rağmen sanırım sağlamlıkta sınıfta kalıyor.
ama tasarım olayında gerçekten iyiler, toplu/hızlı tüketime tasarım metalar sokmuş olması hoş detay.
köfteleri ve bifteği güzel, sigara içilen bölümü olsa muhtemelen oraya yerleşecek bir sürü insan olurdu.",Ekşi Sözlük
s01e01,12.01.2014 23:33,IKEA Genel,"ufak tefek şeyler yürütmenin çok kolay ve keyifli olduğu yer.

bir gün birini gördüm birkaç tane mum attı çantaya çok da mutlu görünüyordu şerefsiz. tabii ödemeli taraftan geçmek lazım kıçı sağlama almak için. salt pis insanların işi.",Ekşi Sözlük
tambourineman,12.01.2014 23:39 ~ 23:41,IKEA Genel,"isveçli'ymiş gibi gözüken resmi olarak hollanda'da kayıtlı olan ancak sahibinin kazancını maksimize etmek ve vergiden avantaj sağlamak için çeşitli ülkelerde çeşitli isimlerde karışık bir yapıda vakıf ve şirketleri içersin de bulundurur.
ayrıca sihirli sustainability kelimesini sık sık kullanırlar ancak dünyada ki ağaç rezervinin 1%'ni tek başına kullandıklarını fazla dile getirmezler.

(bkz: ingka holding bv) hollanda
(bkz: stichting ingka foundation) hollanda
(bkz: inter ıkea systems) hollanda
(bkz: ) lüksemburg
(bkz: ) lihtenştayn
(bkz: ) isviçre
(bkz: )isveç

edit:imla!",Ekşi Sözlük
edepiliedepsiz,12.01.2014 23:42,IKEA Genel,"şirketimizde ortak değerler, karşılıklı saygı ve güven çerçevesinde her çalışanın söz hakkı, gelişme ve ilerleme fırsatı vardır. kurumsal değerlerimizle kendinizi özdeşleştirebiliyorsanız iş başvurusu yapmak için doğru adrestesiniz! aradığınız iş tam zamanlı, kısmi zamanlı, gündüz, gece veya hafta sonları çalışmak için olabilir, kendinize uygun çalışma alanı hakkında bilgi edinin ve açık pozisyonlarımızı kontrol edin! ikea kurumsal degerlerı",Ekşi Sözlük
nogaf,17.01.2014 08:25,IKEA Genel,"bana hep çocukluğumu hatırlatan ürünler sunan isveç mobilya mağazası.

çul çaputlar , yatak altlarına iteklenen sepetler,seleler, çamaşır asma ipleri filan zaman makinası gibi.

perde ve döşemeliklerindeki desenler . alıyor götürüyor beni. taa uzaklarda elf diyarlarındaki insanların, onların taşıdığı kafaların eşyalar, için bizim atalarımızla aynı çözümleri üretmeleri, bunu dünyaya çok matah bir bir şey olarak pazarlamaları beni hayran bırakıyor.

tam bir pazarlama dehası, mal derme çatma, fikir ebemden kalma, işin angaryasını malı alan çekiyor. ikea süper mal satmış oluyor. adam hayal mi pazarlıyor, büyü mü yapıyor, insanların zihinleri ile nasıl oynuyor hayret ki ne hayret ve pazarlama başarısına şapka çıkar",Ekşi Sözlük
ayraniyokicmeye,17.01.2014 08:41,IKEA Genel,bu adamlar aynı zamanda dünya muz tiacretini ellerinde tutarlar,Ekşi Sözlük
sylasher,17.01.2014 08:51,IKEA Genel,fakirler bilmez.,Ekşi Sözlük
kralsizkralice,17.01.2014 09:08,IKEA Genel,allah kimseyi buraya düşürmesin. bir mağazanın mimarisinin amacı neden girsin çıkamasın can çekişsin pezevenkler olur ki.,Ekşi Sözlük
hevipeyra,17.01.2014 09:13,IKEA Genel,ümraniye şubesinde sigara içmek için bir teras bulunurken bayrampaşa şubesinde bulunmamaktadır.,Ekşi Sözlük
bu ne kalabalik,17.01.2014 10:38,IKEA Genel,o mavi sarı torbaları da satsınlar etek yapalım,Ekşi Sözlük
ethylenediaminetetraaceticacid,17.01.2014 20:18,IKEA Genel,"tekstil ürünleri ucuzun iyisi olan marka. aldığım yatak örtülerini paketinden çıkarıp kullanma gibi bir huyum yoktur, önce yıkarım-ütülerim sonra yatağa sererim. ama bu nevresim takımlarını istediğin kadar yıka ütüle öbek öbek pamuk parçacıkları atıyor. o parçalar bir de yatağın ya da yorganın dikiş kısımlarında birikince beni sinir basıyor. bir de en son gittim mal gibi kırmızı yatak örtüsü aldım. lambanın üzerindeki tozda bile kırmızılık var. yerden kırmızı toz kalkmakta. gördüğüm en büyük yorganları üretmekteler (240x220 cm), onlara uygun nevresim takımı da sadece oradan bulabilmekteyim. şu büyük yorganın rahatlığı olmasa bir daha yüzlerine bakmam. bizim pazarda satılan nevresim takımları bile daha kalitelidir bence.",Ekşi Sözlük
semyon,19.01.2014 21:48 ~ 20.01.2014 07:50,IKEA Genel,"mama sandelyesinin; bacaklarını ayri, oturma yerini ayrı ve tablasını ayrı fiyatlandıran firma.",Ekşi Sözlük
yuxel,20.01.2014 00:33,IKEA Genel,http://ibrahimgunduz.net/ikea-rezaleti/,Ekşi Sözlük
nogaf,20.01.2014 14:21,IKEA Genel,"haşur huşur ses çıkaran yorgan üreticisi firma. anacığımı deli etti(miş). döndükçe hışırdıyor diye yün yorgan yaptırıp getirmiş. deseydin anacığım. ikea yorganı örtmezdik sana

yorganları ısı derecelidir. yazlık kışlık sanırım 9 dereceleri vardı.",Ekşi Sözlük
cattee,21.01.2014 00:51,IKEA Genel,"reklam içinde reklamı yapılan marka.
birçok reklamda, özellikle mobilya, ev tekstili vs markaların reklamlarında, kıyıda köşede mutlaka bir ikea ürünü görürsünüz. ürünleri o kadar özgün ki hemen tanırsınız. çoğu televizyon programında, dizide falan zaten çok kullanılıyor ama reklam içinde olması enteresan ve ters geliyor bana.

bir de bazı dizilerde mesela aşırı zengin birilerinin evinde bakıyosun her köşede bir ikea eşya. hiç inandırıcı olmuyor o vakit.",Ekşi Sözlük
hobbittin piposu,21.01.2014 01:49,IKEA Genel,''sahip olduğun mallar sonunda sana sahip oluyor'' der geçerim,Ekşi Sözlük
shura,21.01.2014 02:05,IKEA Genel,"abimin ""bunların malları böyle dost hayatı yaşayanların, bekar evleri- garsoniyerleri için üretilmiş"" şeklinde yorumladığı eşya satan marka. ayrıca onlar yokken nerden alıyormuşuz onca mobilyayı biz? günün her saati dolu..(haftasonu girilmiyor) pek de ucuz olmayan, üstelik demonte ürünler.. nakliyesi para.. montajı para.. hem bizim ne zaman bu kadar mobilya ihtiyacımız oldu?! al al bitmiyor, mütemadiyen mobilya alınıyor, değiştirmek için ikea yı beklemişiz meğer. hayır elbise değil ki her sene yenileyesin. tüm eşyası tastamam olan da gidiyor hala. ben mi?! ben isveç köftesi yemeye gidiyorum tabi. yersen..",Ekşi Sözlük
pamuga sarilmis odun,21.01.2014 02:18,IKEA Genel,sırf mağazayı gezmek bile bana huzur veriyor. bana göre şahane bir firma bence tasarladıkları ürünlerin kullanışlı ve orijinal olması hoşuma gidiyor.,Ekşi Sözlük
yirmilik dis agrisi,21.01.2014 02:23,IKEA Genel,bir arkadaşım bu mağazadan kendine bir hevesle sandalye almış fakat kurma becerisine güvenmediği için üç gün boyunca montaj işlerinden anlayan birini beklemişti. ben de montajdan anlıyorum deyip gitmiştim. sonra benim anladığım montajın video montajı olduğunu farkedince okkalı bir küfür savurmuştu. sonra neyse ki hallettik de tatlıya bağlandı. demem o ki o kadar mobilyayı üreten mağaza şunların montajına da bir el atsa?,Ekşi Sözlük
dereinzigeundseineigentum,21.01.2014 02:24,IKEA Genel,50 metrekare'lik bir alani hem verimli hem de estetik nasil doseyebiliriz sorusuna cevap vermeye calisan firmadir. genelde dizaynlarinda futuristik bir akimin izleri gozlemlenebilir.,Ekşi Sözlük
crimson hawk,21.01.2014 02:31,IKEA Genel,"forum'da olduğumuz zaman köftesi için uğradığımız isveçli mobilyacı. bir siki de beğenmeyen bazı aşırı uç yazarlara bakmayın, o kadar anlattıkları kadar kötü değil.",Ekşi Sözlük
ucuzromanyazari,21.01.2014 04:04,IKEA Genel,"45 kilo halimle biraz hızlı yaslandığımda, sırt kısmı ortadan ikiye ayrılan sandalyeler üreten, satan firma. sırtım acımadı bile düşünün.",Ekşi Sözlük
freakme,06.02.2014 09:36,IKEA Genel,(bkz: jansjö usb),Ekşi Sözlük
turuncan53,19.02.2014 23:41,IKEA Genel,izmir'deki şubelerinde bir sıcak çikolata yapıyorlar... ben yaşamım boyunca bu kadar güzel bir sıvı içmedim arkadaş.,Ekşi Sözlük
tuncayxx,28.02.2014 15:47,IKEA Genel,hafta için gündüz saatleri restoran bölümünün darülaceze gibi olması aynı zamanda isveç'in huzurlu havasının teneffüs edildiği mekan.,Ekşi Sözlük
ayakta duramayan adam,02.03.2014 22:01,IKEA Genel,"reklamı bok gibi olan firma. darülaceze misin müptezel. senin duygusal reklama ne ihtiyacın var. zaten ülkece bokun içine batmışız, komik reklam yapması lazım.

iki çocuk kavga ediyor.
- söküp takarım lan seni.
- ohoo sen eskide kalmışsın. ikea artık moda. ben seni sökeyim annen birleştirsin.

yap şunu gülümset insanları. ulan kim der ki ikea reklamı çok hüzünlendirdi hemen ürün alalım diye. ben böyle reklam yapmasın da batsın diye gitmem.",Ekşi Sözlük
takeaway black coffee,03.03.2014 02:42 ~ 02:45,IKEA Genel,"çok kullanışlı, sağlam ve makul fiyatlı ürünler satan dev mobilyacı. ama bu demek değildir ki saçmalıkları olmasın.

aldığım kanepe (ektorp serisi) oldukça rahat ve sağlam çıktı. yıkanabilir kılıf kullanışlı ama rengi attı; koyu renkliyse sürekli güneş almasın dikkat edin, yıkamayla alakası yok. gardırop da kullanışlı ve her santimetresi işe yarıyor. saydığım ürünlere ek olarak, coffee table ve iki kitaplık da var; hepsi de sunta biliyorum ama dayanıklılar. sağlam olduktan sonra sunta veya masif olmasının önemi yok benim için; suntanın fiyatı daha makul oluyor tabi. ev için mumdu, ıvır zıvırdı bunlar hem makul fiyatlı hem de oldukça güzel.

havlularından kesinlikle uzak durun; toz bezi için bile almayın. en kötü kalite ürünler var! hem tüy bırakıyor hem de tek kullanımda (el havluları) kokuyor; iğrenç! o kadar da yıkıyorum suya enerjiye deterjana yazık!

ikea'nın ürünlerini genelde eşte dosta görmek sizin için handikapsa ürünleri kişiselleştirebilirsiniz. internette de birçok site var sanırım bununla ilgili; zamanınız fln yoksa bilemem tabi. makul fiyatlı (makul lafını hayatımda burdaki kadar çok kullanmadım buarada) ve kullanışlı ürünleri alıp yakınmak da çok mantıklı değil. mobilyacılardan ağzı yanmış birçok insan burayı tercih ediyor. en azından çeşit çok, tasarımlar gerçekten güzel ve kullanışlılar.

bir de mağazalarınla kaybolmamak için gitmeden ya kataloglarına ya da internet sitelerine mutlaka göz atın ve fikir edinin. bunları yaparken de düşündüğünüz yerlerin ölçüsünü almayı unutmayın, kafanızda planlayın; yoksa mağaza kaybolursunuz. açıkçası kataloglara bakıp gittiğimde çok daha mantıklı ve rahat alışveriş yapıyorum; ürün çeşitlerinde boğulmuyorum. gitmeden önce beğendiğiniz tipteki ürünlerin muadillerini de başka markalardan araştırın. bazen hemen hemen aynı ürünler daha uygun fiyata koçtaş, bauhaus gibi yerlerde olabiliyor.",Ekşi Sözlük
laktoztermosifos,07.03.2014 17:13,IKEA Genel,"ne kadar global olursan ol, o ülkenin insanlarıyla iş yapıyorsan o ülkenin firmalarından bir farkın yok. hatta taşeron gibisin, daha da betersin.
parasını peşin ödediğin hiçbir şeyin hizmetini alamazsın bu ülkede, köpek muamelesi görürsün, salak muamelesi görürsün o kadar. sistemini siktiğimin hayatında bu firmalar büyüdükçe büyür. seni siktikçe çoğalıyorlarmış gibi.",Ekşi Sözlük
loresima,24.03.2014 02:17,IKEA Genel,"isveçte ucuz ve öğrenci mobilyası olarak bilinen bir şeymiş.

kaynak: isveçli bir arkadaş.",Ekşi Sözlük
vandalist psycho,24.03.2014 02:26,IKEA Genel,amerika'da zencilerin giydiği mobilya firması.,Ekşi Sözlük
kup tuz,24.03.2014 03:27,IKEA Genel,isveçte habeci yeridir. türkiye'de hava atılıcak birşeymiş görülmesi ise ilginç. nihayetinde mobilyadır yeri geldi tasarımdır ama bir zaha hadid tasarımı hiç değildir.,Ekşi Sözlük
sudana,24.03.2014 03:45,IKEA Genel,"estetik mobilyanin cok ama cok pahali oldugu (bir kanepe ~$3000, koltuk takimi degil sadece koltuk) amerika'da mecburen aldigimiz ucuz esya markasi. dolayisiyla tum ev ikea showroomu gibi.

siyah olan hicbir seyini almamanizi tavsiye ediyorum. cunku her gun toz alsaniz bile toz icinde yasarsiniz. herseyi beyaz alirsaniz ev hem genis hem temiz gorunur.

aslinda kullanisli ve basit urunler. basit derken yani simple ya da plain hakaret degil yani basit guzel. guzel olmayansa insanin eve gelen ''arkadas''inin bu sehirde ikea mi var diye asagilamasi. yok bu sehirde ikea yok yan sehirden aldim. o nedenle zengin gosterecek mobilyaya gececegim gunleri bekliyorum. valla biktim.

#whitegirlproblems",Ekşi Sözlük
zeusun yandan yemisi,24.03.2014 06:49,IKEA Genel,amerikada kalitesiz ucuz mobilya markasi.,Ekşi Sözlük
efendi,24.03.2014 07:14,IKEA Genel,"mobilyalarının mağazada güzel görünmesinin sebebi her tarafa dayadıkları spot lambalar bence. ayrıca türkiye'de başka yerlerde kolay kolay bulunamayacak olan minik detay aksesuarlar da mobilyaları albenili gösteriyor.

ucuz mobilyaları sadece dekorasyon için iyi olabilir, bizim sağlamlık testimizi geçmesi çok zor :)",Ekşi Sözlük
baykusugursuzdegil,24.03.2014 10:17,IKEA Genel,ikea evimizin her şeyi.. gerçekten de öyle.. beni bırakın oraya 3 gün sonra alırsınız.. aman allahım ne hayaller ne masallar bende haddi hesabı yok.. manyakça duygusal bir bağ oluştu aramızda.. töbe bismillah..,Ekşi Sözlük
kafamin etini yeme kadin,07.04.2014 15:39,IKEA Genel,"sucuk ekmekte aşmışlar, ayrıca bursa mağazalarındaki pisuvarları da yurdum erkeği bacak boyuna göre ayarlamış olmaları mutlu edici.",Ekşi Sözlük
inheritance,07.04.2014 17:15,IKEA Genel,"girmesi kolay, çıkması zor yer.",Ekşi Sözlük
colde cay,27.04.2014 20:43,IKEA Genel,"internet sitesi üzerinden alışveriş yapmaktansa tost makinesi üzerinden alışveriş yapılabilecek isveçli şirket. bir gayretle niyet ettik alışveriş yapmaya ancak sağolsunlar mesai çıkışı köprü trafiğine takılmış hissiyatını yaşattılar. hepsiburada veya koçtaş'ı referans alarak internet mağazasında iyileştirmeye gitmelerinin kendileri için iyi olacağını düşünüyorum. bir de 'sadece internet mağazasında satılan ürünleri göster' ibaresi işaretlendiğinde elde fazla malzeme / ürün kalmıyor. mağazalarındaki ürün çeşitliliğini internet mağazasına da yansıtmalılar. taksitlendirme konusunda da bir sıkıntı var. bu işe de el atmalılar.

hem şikayet ediyorsun hem de alışverişe devam ediyorsun diyecek olanlar için zamanın ötesinden değil öncesinden gelen, sezgilere dayanan editto büdütto:

(bkz: )",Ekşi Sözlük
